Date,Home Team,Home Score,Away Team,Away Score
2017-11-01,Princeton,61,Albany,43
2017-11-02,Marshfield,55,Hollister,49
2017-11-08,Central (Cape Girardeau),54,Dexter,39
2017-11-17,Hermitage,44,Ballard,71
2017-11-17,Seymour,63,Bradleyville,41
2017-11-17,St. Paul Lutheran (Concordia),66,California,49
2017-11-17,Sparta,57,Chadwick,72
2017-11-17,Bunceton,23,Chilhowee,60
2017-11-17,St. Louis College Prep,48,Collegiate School of Med-Bio Science with Central Visual and Performing Arts,34
2017-11-17,Northwest (Cedar Hill),33,DeSoto,71
2017-11-17,Winfield,72,Elsberry,71
2017-11-17,Cleveland NJROTC,61,Gateway,82
2017-11-17,Windsor,38,Lakeland,73
2017-11-17,Delta,76,Leopold,51
2017-11-17,Plato,56,Linn,54
2017-11-17,La Monte,40,Lone Jack,57
2017-11-17,Putnam County,55,Macon,57
2017-11-17,Silex,30,Missouri Military Academy,37
2017-11-17,Madison,74,Pilot Grove,47
2017-11-17,Orrick,53,Polo,68
2017-11-17,Concordia,68,Smithton,53
2017-11-17,Roosevelt,51,Sumner,60
2017-11-17,Novinger,72,Tri-County,36
2017-11-17,Laquey,56,Tuscumbia,46
2017-11-17,Wright City,45,Warrenton,74
2017-11-18,Dixon,96,Belle,100
2017-11-18,McKinley Classical Leadership,40,Carnahan,72
2017-11-18,St. Elizabeth,68,Crocker,73
2017-11-18,Licking,49,Eugene,80
2017-11-18,Newburg,61,Fatima,56
2017-11-18,Jackson,81,Hickman,49
2017-11-18,New Bloomfield,87,Iberia,72
2017-11-18,Salem,41,Marshfield,59
2017-11-18,Collegiate School of Med-Bio Science with Central Visual and Performing Arts,43,Metro,67
2017-11-18,South Callaway,76,Richland,53
2017-11-18,Logan-Rogersville,37,Rolla,58
2017-11-18,Stoutland,78,Russellville,60
2017-11-18,Transportation and Law,68,Soldan International Studies,51
2017-11-18,Miller Career Academy,52,Vashon,76
2017-11-20,Windsor,47,Adrian,58
2017-11-20,Riverview Gardens,46,Alton,69
2017-11-20,Clearwater,49,Arcadia Valley,68
2017-11-20,Northwestern (Mendon),69,Atlanta,31
2017-11-20,West Platte,50,Bishop LeBlond,66
2017-11-20,Tina-Avalon,40,Braymer,66
2017-11-20,Hardin-Central,32,Brunswick,46
2017-11-20,Boonville,91,California,89
2017-11-20,Lift for Life Academy Charter,89,Cleveland NJROTC,66
2017-11-20,Lone Jack,36,Drexel,38
2017-11-20,Greenfield,79,Everton,62
2017-11-20,Higbee,47,Fayette,83
2017-11-20,West County,78,Fredericktown,66
2017-11-20,Linn County,79,Grundy County with Newtown-Harris,62
2017-11-20,Mercer,75,Hale with Bosworth,49
2017-11-20,New Covenant Academy,36,Hartville,78
2017-11-20,Soldan International Studies,64,Hazelwood West,52
2017-11-20,Plattsburg,74,Lexington,43
2017-11-20,Cleveland NJROTC,44,Lift for Life Academy Charter,77
2017-11-20,Eldon,45,Linn,57
2017-11-20,Keytesville,72,Macon County,36
2017-11-20,Brashear,42,Marion County,48
2017-11-20,Joplin,56,McDonald County,47
2017-11-20,Humansville,39,Niangua,46
2017-11-20,Pacific,74,Normandy Collaborative,52
2017-11-20,Notre Dame (Cape Girardeau),67,North County,69
2017-11-20,Milan,77,Novinger,55
2017-11-20,Benton,33,Raytown South,75
2017-11-20,Lawson,47,Richmond,45
2017-11-20,Ellington,25,South Iron,56
2017-11-20,Community,48,Sturgeon,53
2017-11-20,Otterville,34,Sweet Springs,58
2017-11-20,Exeter,40,Thomas Jefferson Independent Day,87
2017-11-20,Bronaugh,21,Wheatland,80
2017-11-21,Northeast Nodaway,65,Albany,42
2017-11-21,Koshkonong,45,Alton,76
2017-11-21,Northeast Vernon County,38,Appleton City,55
2017-11-21,Fordland,77,Ash Grove,74
2017-11-21,Gainesville,65,Bakersfield,44
2017-11-21,Kingsville,39,Ballard,59
2017-11-21,New Haven,48,Belle,45
2017-11-21,Lesterville,77,Bismarck,66
2017-11-21,Putnam County,53,Brookfield,41
2017-11-21,Stewartsville with Osborn,51,Cainsville with Ridgeway,67
2017-11-21,New Bloomfield,76,Calvary Lutheran,42
2017-11-21,Macon,54,Cameron,78
2017-11-21,Knox County,40,Canton,51
2017-11-21,Billings,68,Chadwick,65
2017-11-21,Vienna,58,Chamois,45
2017-11-21,Penney,30,Chillicothe,65
2017-11-21,Ellington,53,Clearwater,43
2017-11-21,Hazelwood West,56,Cleveland NJROTC,35
2017-11-21,East Newton,52,Clever,62
2017-11-21,Laquey,56,Climax Springs,35
2017-11-21,Knob Noster,54,Clinton,72
2017-11-21,Osage,65,Cole Camp,34
2017-11-21,Wellsville-Middletown,50,Community,59
2017-11-21,Crane,47,Conway,62
2017-11-21,Lutheran St. Charles,38,Duchesne,65
2017-11-21,Pembroke Hill,55,East (Kansas City),40
2017-11-21,Trenton,36,East Buchanan,70
2017-11-21,Forsyth,80,Fair Grove,88
2017-11-21,Eldon,57,Fatima,82
2017-11-21,Waynesville,73,Fox,46
2017-11-21,Ft. Zumwalt West,49,Ft. Zumwalt South,74
2017-11-21,Northwest (Cedar Hill),31,Grandview (Hillsboro),48
2017-11-21,Bowling Green,41,Hannibal,73
2017-11-21,Southern Boone,63,Harrisburg,66
2017-11-21,Concordia,60,Holden,39
2017-11-21,Spokane,58,Hollister,60
2017-11-21,Cuba,54,Houston,42
2017-11-21,Miami (Amoret),52,Hume,19
2017-11-21,St. Elizabeth,53,Jamestown,65
2017-11-21,Smith-Cotton,36,Jefferson City,58
2017-11-21,Highland,39,Kirksville,64
2017-11-21,McAuley Catholic,54,Liberal,67
2017-11-21,Southeast,51,Lincoln College Prep,41
2017-11-21,Northeast (Cairo),55,Madison,65
2017-11-21,Richland,56,Mansfield,90
2017-11-21,Wheatland,62,Marion C. Early,46
2017-11-21,Chaffee,84,Marquand-Zion,21
2017-11-21,Troy Buchanan,55,Marquette,74
2017-11-21,Tarkio with Fairfax,55,Maysville,63
2017-11-21,Herculaneum,34,Meadow Heights,65
2017-11-21,Lakeland,73,Montrose,42
2017-11-21,Blue Eye,74,New Covenant Academy,61
2017-11-21,Fayette,48,New Franklin,39
2017-11-21,Belle,45,New Haven,48
2017-11-21,Sheldon,43,New Heights Christian,75
2017-11-21,Truman,38,North Kansas City,52
2017-11-21,North Harrison,60,North Nodaway,57
2017-11-21,Lutheran (Kansas City),47,North Platte,53
2017-11-21,Bevier,24,North Shelby,54
2017-11-21,Central (Kansas City),64,Northeast (Kansas City),63
2017-11-21,Prairie Home,69,Northwest (Hughesville),59
2017-11-21,Gilman City with North Daviess,57,Osborn,24
2017-11-21,Lincoln,53,Osceola,58
2017-11-21,Newburg,55,Owensville,23
2017-11-21,Mark Twain,62,Paris with Faith Walk,45
2017-11-21,Gallatin,44,Pattonsburg,60
2017-11-21,Marionville,42,Pierce City,47
2017-11-21,Norwood,54,Plato,77
2017-11-21,Plattsburg,53,Polo,40
2017-11-21,Worth County,71,Princeton,56
2017-11-21,McKinley Classical Leadership,39,Principia,77
2017-11-21,Jasper,52,Rich Hill,62
2017-11-21,Crest Ridge,35,Sacred Heart,70
2017-11-21,La Monte,44,Santa Fe,77
2017-11-21,Fox,75,Seckman,64
2017-11-21,Ava,55,Seymour,69
2017-11-21,El Dorado Springs,73,Sherwood,87
2017-11-21,Glasgow,75,Slater,73
2017-11-21,Pilot Grove,75,Smithton,88
2017-11-21,Winston,59,South Harrison,47
2017-11-21,King City,49,South Nodaway with Jefferson (Conception),42
2017-11-21,Westran,51,South Shelby,40
2017-11-21,Lincoln College Prep,41,Southeast,53
2017-11-21,Diamond,61,Southwest (Washburn),49
2017-11-21,Mountain Grove,68,Springfield Catholic,65
2017-11-21,St. Charles West,51,St. Charles,61
2017-11-21,DeKalb,25,St. Joseph Christian,66
2017-11-21,Cristo Rey,31,St. Michael the Archangel,84
2017-11-21,Bunker,64,St. Paul Lutheran (Farmington),21
2017-11-21,Nevada,51,St. Pius X (Kansas City),36
2017-11-21,Central (St. Joseph),28,Staley,64
2017-11-21,Mound City,50,Stanberry,53
2017-11-21,Dixon,72,Steelville,75
2017-11-21,Warsaw,44,Stockton,59
2017-11-21,Macks Creek,63,Stoutland,72
2017-11-21,Leeton,76,Stover,67
2017-11-21,Mid-Buchanan,79,Summit Christian Academy,67
2017-11-21,Carrollton,32,Sweet Springs,44
2017-11-21,Liberty (Wentzville),57,Timberland,60
2017-11-21,Green City,81,Tri-County,43
2017-11-21,Bunceton,29,Tuscumbia,64
2017-11-21,Festus,58,Union,36
2017-11-21,Lathrop,50,University Academy Charter,56
2017-11-21,St. Dominic,52,University City,49
2017-11-21,St. Clair,43,Valley Park,53
2017-11-21,Walnut Grove,75,Verona,60
2017-11-21,Eugene,93,Versailles,52
2017-11-21,Kingston,45,Viburnum,60
2017-11-21,Confluence Prep Academy Charter,70,Washington,46
2017-11-21,Sarcoxie,58,Wheaton,34
2017-11-21,Park Hill South,78,William Chrisman,46
2017-11-21,Summersville,25,Willow Springs,83
2017-11-21,Archie,51,Windsor,49
2017-11-21,Montgomery County,94,Winfield,68
2017-11-21,Lafayette (St. Joseph),65,Winnetonka,68
2017-11-22,South Iron,53,Arcadia Valley,48
2017-11-22,Bismarck,58,Fredericktown,72
2017-11-22,Sumner,62,Gateway,87
2017-11-22,West County,59,Lesterville,66
2017-11-22,Washington,47,McCluer North,86
2017-11-23,West County,64,Arcadia Valley,88
2017-11-23,Ellington,60,Fredericktown,44
2017-11-23,South Iron,45,Lesterville,70
2017-11-24,Neelyville,55,Alton,47
2017-11-24,West County,64,Arcadia Valley,88
2017-11-24,Winona,76,Clarkton,48
2017-11-24,Naylor,69,Delta,72
2017-11-24,Valley,42,Gideon,59
2017-11-24,Summersville,49,Marquand-Zion,43
2017-11-24,St. Francis Borgia,41,McCluer North,62
2017-11-24,MICDS,63,Miller Career Academy,62
2017-11-24,North Technical,48,Normandy Collaborative,67
2017-11-24,University Academy Charter,45,Northeast (Kansas City),55
2017-11-24,Riverview Gardens,53,Ritenour,78
2017-11-24,Carnahan,55,St. Mary's South Side,92
2017-11-24,Puxico,69,Van Buren,77
2017-11-25,Eminence,69,Advance,86
2017-11-25,East Carter,70,Alton,74
2017-11-25,St. Mary's South Side,75,Alton,67
2017-11-25,Miami (Amoret),45,Ballard,51
2017-11-25,Galena,61,Chadwick,77
2017-11-25,Thayer,49,Doniphan,35
2017-11-25,Risco,59,Dora,75
2017-11-25,Winona,57,Greenville,48
2017-11-25,Lincoln College Prep,38,Hogan Prep Academy Charter,68
2017-11-25,Pacific,52,McCluer North,59
2017-11-25,Plato,66,Newburg,55
2017-11-25,Washington,50,Normandy Collaborative,47
2017-11-25,Laquey,56,Stoutland,66
2017-11-25,Naylor,75,Van Buren,72
2017-11-25,Puxico,69,Van Buren,77
2017-11-25,Charleston,91,Vashon,92
2017-11-27,Appleton City,47,Adrian,61
2017-11-27,Kelly,24,Advance,83
2017-11-27,Lindbergh,62,Affton,30
2017-11-27,Worth County,64,Albany,21
2017-11-27,Thayer,60,Alton,35
2017-11-27,Brashear,36,Atlanta,43
2017-11-27,Milan,65,Atlanta,28
2017-11-27,Springfield Catholic,64,Aurora,51
2017-11-27,Dora,66,Bakersfield,33
2017-11-27,Mehlville,72,Bayless,36
2017-11-27,Bishop LeBlond,59,Benton,54
2017-11-27,Holcomb,28,Bernie,73
2017-11-27,John Burroughs,53,Bishop DuBourg,50
2017-11-27,Marquand-Zion,52,Bismarck,77
2017-11-27,Neelyville,53,Bloomfield,51
2017-11-27,Bunker,52,Bourbon,57
2017-11-27,La Plata,72,Brashear,21
2017-11-27,Polo,58,Braymer,68
2017-11-27,Miami (Amoret),53,Bronaugh,16
2017-11-27,Harrisburg,81,Brookfield,44
2017-11-27,Keytesville,49,Brunswick,55
2017-11-27,Risco,75,Campbell,45
2017-11-27,Senath-Hornersville,57,Caruthersville,85
2017-11-27,Sparta,49,Chadwick,58
2017-11-27,Schuyler County,20,Clark County,77
2017-11-27,Lutheran St. Charles,48,Clayton,63
2017-11-27,McKinley Classical Leadership,65,Cleveland NJROTC,58
2017-11-27,Mt. Vernon,68,Clever,54
2017-11-27,Sherwood,46,Concordia,47
2017-11-27,Hermitage,78,Dadeville,91
2017-11-27,Northeast Nodaway,64,DeKalb,30
2017-11-27,Meadow Heights,58,Delta,46
2017-11-27,North County,80,DeSoto,60
2017-11-27,Verona,53,East Newton,51
2017-11-27,Humansville,32,Fair Play,74
2017-11-27,Ladue Horton Watkins,48,Farmington,44
2017-11-27,Marceline,63,Fayette,70
2017-11-27,Waynesville,73,Fox,46
2017-11-27,Hannibal,63,Francis Howell,69
2017-11-27,Hazelwood Central,100,Gateway,47
2017-11-27,Northeast (Cairo),61,Glasgow,65
2017-11-27,Southwest (Washburn),56,Greenfield,65
2017-11-27,Linn County,76,Hale with Bosworth,62
2017-11-27,Windsor (Imperial),54,Hancock,74
2017-11-27,Winston,63,Hardin-Central,20
2017-11-27,Delta (Deering),46,Hayti,101
2017-11-27,Trinity Catholic,77,Hazelwood East,55
2017-11-27,Cardinal Ritter,85,Hazelwood West,63
2017-11-27,Troy Buchanan,74,Hickman,42
2017-11-27,Westminster Christian Academy,67,Holt,70
2017-11-27,Spokane,60,Hurley,40
2017-11-27,Maplewood-Richmond Hts.,59,Jennings,61
2017-11-27,McDonald County,42,Joplin,68
2017-11-27,Lesterville,62,Kingston,48
2017-11-27,Marshall,64,Kirksville,53
2017-11-27,New Bloomfield,109,La Monte,48
2017-11-27,Lathrop,53,Lafayette County,56
2017-11-27,Midway,28,Lakeland,46
2017-11-27,Lone Jack,53,Leeton,54
2017-11-27,Perryville,79,Leopold,45
2017-11-27,Affton,30,Lindbergh,62
2017-11-27,Galena,68,Lutie,38
2017-11-27,Richland (Essex),40,Malden,102
2017-11-27,Pattonville,47,McCluer,52
2017-11-27,Cleveland NJROTC,58,McKinley Classical Leadership,64
2017-11-27,Collegiate School of Med-Bio Science with Central Visual and Performing Arts,53,Metro,59
2017-11-27,Carnahan,57,Miller Career Academy,60
2017-11-27,Hume,23,Montrose,57
2017-11-27,North Nodaway,34,Mound City,64
2017-11-27,South Holt,75,Nodaway-Holt,52
2017-11-27,Southland,50,North Pemiscot,78
2017-11-27,Roosevelt,52,North Technical,55
2017-11-27,Sheldon,58,Northeast Vernon County,44
2017-11-27,Crossroads College Preparatory,31,Orchard Farm,77
2017-11-27,South Nodaway with Jefferson (Conception),48,Osborn,15
2017-11-27,Parkway North,42,Parkway Central,89
2017-11-27,Parkway West,31,Parkway South,69
2017-11-27,South Harrison,45,Pattonsburg,62
2017-11-27,Greenwood,38,Pierce City,65
2017-11-27,Savannah,55,Platte County,89
2017-11-27,St. Pius X (Festus),41,Principia,45
2017-11-27,School of the Ozarks,38,Reeds Spring,51
2017-11-27,Excelsior Springs,46,Richmond,59
2017-11-27,Northland Christian,37,Rock Port,66
2017-11-27,Ste. Genevieve,41,Rockwood Summit,48
2017-11-27,Steelville,57,Salem,46
2017-11-27,St. Paul Lutheran (Farmington),21,Saxony Lutheran,95
2017-11-27,Central (Cape Girardeau),81,Seckman,43
2017-11-27,Neosho,55,Seneca,61
2017-11-27,Lutheran South,90,St. Charles,92
2017-11-27,Potosi,58,St. Clair,55
2017-11-27,Southeast,47,St. Pius X (Kansas City),51
2017-11-27,West Nodaway with Nodaway-Holt,46,Stewartsville with Osborn,30
2017-11-27,East Carter,75,Summersville,38
2017-11-27,Puxico,75,Twin Rivers,61
